sentence,label
ngữ trêu trọc vậy,khác
cali,phân biệt
đơn_giản kí kí,phân biệt
hát nối vòng bắc trung nam việt_nam nam non_sông việt không đừng phân_biệt miền kỳ đi nè,ủng hộ
bình_luận tưởng lạc,khác
điền chỗ trống parky rau,phân biệt
video thiết_thực coment thất_đức,khác
bắc_nam sống nam bắc sống,phân biệt
người xinh gái đẹp_trai tư lệch_lạc,khác
toàn bọn phản_động bình_luận parky đoàn_kết chia rẻ,khác
cali chuẩn cắn,phân biệt
nam bắc,ủng hộ
miền bắc với miền nam anh_em,ủng hộ
bình_luận toàn parky vậy,khác
chiến_sỹ không lập gia_đình đáp lý không lập gia_đình dân tốc việt_nam đối gia_đinh,khác
batman,khác
map việt_nam thời_kì đi chửi tổ_tiên,khác
cno ghét parky parky cno hồi niếm đí tôi pháp mĩ,phân biệt
bắc trung nam,ủng hộ
miền nam chào miền bắc,khác
chó sủa dòng đi bắc trung nam đoàn_kết,ủng hộ
sinh_vật,phân biệt
không bọn phân_biệt vùng miền bình_luận,khác
bắc_nam mày tư chút hộ,ủng hộ
yêu miền bắc trung nam,ủng hộ
như thế_này miền bắc thể miền nam thoải_mái miền nam bắc dân địa_phương hiếp không,phân biệt
chi thức,khác
tik tok chán cấm việt_nam,khác
hát nối vòng bắc trung nam việt_nam nam non_sông việt không đừng phân_biệt miền kỳ đi nè,ủng hộ
chấp chứng_tỏ miền xấu ích_kỉ vậy,phân biệt
chào parky,phân biệt
parky lỏ,phân biệt
mày hoài,khác
bắc_nam gà mẹ hoa cành nguyện biển thắm non xanh thương nuôi chí đấu_tranh bền,ủng hộ
dạy liệu quên,khác
được đi học không kalicho,phân biệt
toàn mấy thk học lớp chx được giáo_dục,khác
tây nội_địa pịa cali,phân biệt
namki chao miền nam,phân biệt
ns nam mới hình_thành,khác
được bọn phân biết miền bắc trung nam,khác
hồ dạy yêu tổ_quốc yêu đồng_bào học_tập lao_động đoàn_kết kỷ_luật gìn vệ_sinh kt dũng_cảm,ủng hộ
parky,phân biệt
hồ dạy yêu tổ_quốc yêu đồng_bào bọn mày dùm,ủng hộ
bọn phân_biệt miền rồi không bình_luận,khác
tổ_quốc việt_nam anh_em,ủng hộ
thằng miền bắc miền nam thằng thằng phân_biệt miền,khác
lắm,khác
party,phân biệt
đừng parky tui miền nam,khác
phân_tích,khác
parky miền bắc,khác
parky parky được cay,phân biệt
tôi dân sài_gòn,khác
đi nam bắc chứa hàng triệu trái_tim việt_nam,ủng hộ
bắc_nam mày tư chút hộ,ủng hộ
namki cay namki namki namki namki cay,phân biệt
nam bắc,ủng hộ
cay ak,khác
,khác
may thang thieu hoc parky namky backy,khác
vid vấn_đề tụi spam vậy vô_nghĩa,khác
việt_nam dân_tộc việt_nam sông thể cạn núi thể mòn song chân_lý bao thay_đổi hồ_chí_minh,ủng hộ
đất việt_nam dân_tộc việt_nam sông_cạn_đá_mòn nhân_dân nam bắt,ủng hộ
kê đi não tụi được tương_tác tụi nhắn chs vậy đấy đem trò_đùa,khác
bắc não nam đuôi mày đi,phân biệt
bắc trung nam toàn lạ tất anh_em cột trèo hch,ủng hộ
thằng cali caydodai rồi,phân biệt
đường nam kỳ khởi_nghĩa không tui hào nam kỳ parky chối cội,phân biệt
hợp_lý,khác
hah thằng già mày giỏi mày đứng dậy khởi_nghĩa đi thằng già cali,phân biệt
việt_nam chào,khác
tôi khoẻ miền trung chả phân_biệt miền,khác
thẳng toàn bọn miền nam phân_biệt chả miền,phân biệt
bắc trung nam,ủng hộ
tiếng mấy bữa lướt bình_luận chia_rẽ đoàn_kết,ủng hộ
dân nam giải_phóng giải_phóng không dân bắc cx this that sống được,khác
tôi không biết chữ lun,khác
hào bắc,khác
mienam chào mienpark nha,khác
tôi miền tây,khác
đọc parky namkiki tổn_thương dân_tộc việt_nam kẻ vui_mừng bè_lũ phản_động lũ hại dân lũ lăm_le xâm_lược,khác
tôi demenphieuluky,khác
party,phân biệt
anh_em với namki,phân biệt
parky cay rồi,phân biệt
sức phi văn_hoá đề_nghị xử nghiêm,ủng hộ
parky namki trungky anh_em tôi,ủng hộ
mấy bình_luận bơ đi bữa không cắn việt_nam giải_phóng hoà_bình nội_chiến phân_biệt miền,ủng hộ
tôi tayduky anh_em,khác
namky chào parkt,phân biệt
tôi thicuoiky nek,khác
tầm lí luânj chả lmj được kệ xã_hội dạy,khác
miền nam nam bắc trung nam anh_em phân_biệt,ủng hộ
papke,phân biệt
thik miền bắc miền nam cãi anh_em ta dân tốc đoàn_kết phân_biệt miền hồ_chí_minh muôn,ủng hộ
bắc nhiệt_tình gái thương cực,ủng hộ
parky giận liền,phân biệt
parky,khác
naiky,phân biệt
thề bọn spaw kinh chán,khác
miền nam chào miền trung miền bắc,ủng hộ
pảky culi,phân biệt
bắc trung nam,ủng hộ
vị_trí quan_trọng máy mấy miền nam miền nam giỏi miền bâc thắc_mắc,khác
sợ người âm_thầm không nsnd trường mõm mạng không thèm chấp,khác
parky cá_rô nhầm lựu_đạn chết mày đi lủ bắc kì,phân biệt
parky,phân biệt
tức ảnh_hưởng rồi lao kệ gieo nhân đấy hộ,khác
bắc_nam,ủng hộ
tiktok khoá tài_khoản sử_dụng ngữ phân_biệt miền,ủng hộ
namkiki,phân biệt
mãi vtv tiếng,khác
zậy người bắc xảo_quyệt không kiến cá_nhân tui thui thui tui không đánh_đồng người bắc nha em người bắc thôg cảm thể,khác
bắc toàn_tài toàn cai_trị đất sài_gòn vậy giàu toàn bắc miền nam toàn thuê ghê,phân biệt
chuẩn chửi bọn phí nc bọt kiến_thức,khác
hợp_lý,phân biệt
ấm lắm,khác
phân_biệt nam bắc,ủng hộ
bắt cua,phân biệt
tụi packy cú không dám minh packy thoi tao thây gọi namky tao thây bthuong,phân biệt
việt_nam ki thi đạo công_giáo thoi,khác
lực thể chia_cắt nam bắc yêu việt_nam,ủng hộ
nạn phân_biệt diễn dan chủ văn_minh,khác
sinh_vật đám phản_động thao_túng kẻ thất_bại kém_cỏi chửi bậy,phân biệt
narky,phân biệt
miền nam chào miền trung miền bắc,ủng hộ
trẻ không suy vậy suy lỗi đất hi_sinh bắc trung nam đi,ủng hộ
parky phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương,khác
parky,phân biệt
việt_nam duongdereview learnontiktok mcv,ủng hộ
que,khác
bình_luận toàn lũ vô_học,khác
parky namky ghét câu không vui hồ hi_sinh đồng_bào tất,ủng hộ
việt_nam,ủng hộ
parky chào naky nhá,phân biệt
vụ cháu hồ công_dân yêu,khác
đọc bình_luận sock,khác
miền chả không,ủng hộ
đừng nam bắc,ủng hộ
phận biệt chia_rẽ dân_tộc_thể chấp,ủng hộ
khoản nghị_định nđ cp,ủng hộ
thực bọn thương trách,khác
bo_bo khoai sống nhu thể parky,phân biệt
thằng tym lẹ bọn parky kia lũ phản phản_loạn,phân biệt
parky bắc trung nam việt_nam spam câu,ủng hộ
parky biến_thể party,phân biệt
nam khu_vực với mấy miền trung miền bắc chx bth lịch vui_vẻ tiktok mấy chửi không kiểu,khác
người bắc mày trịnh thượng kiểu không tụi tao giờ tụi bây buồn_cười,phân biệt
đoàn_kết đoàn_kết đại_đoàn_kết thành_công thành_công đại thành_công,ủng hộ
chuẩn,khác
câu chợ đông àk tụi ảo_tưởng vl,phân biệt
chào việt haha,khác
bắc trung nam,ủng hộ
tổ_quốc việt_nam anh_em,ủng hộ
mấy người phân_biệt miền không học lịch_sử,khác
bận_tâm mấy dòng chữ vô_dụng,khác
luạt hành_động phân_biệt miền phạt lắm,khác
thằng parky chó mặc miền nam không ghét miền bắc tất không đừng phân_biệt,khác
bắc trung nam anh_em,ủng hộ
tao parky lũ cali combat lũ không miền nam,phân biệt
đéo miền bắc mẹ mày sống,phân biệt
chấp bọn cali,phân biệt
tutu tôi hoá phân biết nhìu vậy,khác
bắc trung nam việt_nam,ủng hộ
bắc trung nam,ủng hộ
cá_rô ngán gán dô nam liếm_láp miền nam giải_phóng đéo hả parky,phân biệt
miền nam tiếc bình_luận tiêu_cực vầy thành lỗi miền bắc_nam bắc,ủng hộ
gà mẹ hoài_đá,ủng hộ
parky gốc ôg cố nội bọn tôi vậy hk parky giờ nam suớbg rồi,phân biệt
nam bắc bọ bọn kệ đi vô_học,ủng hộ
phân_biệt miền chán,ủng hộ
cali hào không,phân biệt
nam bắc namki parki ghét,ủng hộ
bùn phân_biệt vùng miền,khác
parky namki trung kinh anh_em chs monkey,phân biệt
hệ bây kỳ xưa miền bắc_nam đất,ủng hộ
tik tok giờ nát rồi nhập hồ,khác
nam không được đi học hả,phân biệt
cj giới trẻ cứu hồ đường cứu sống sung_sướng được giặc đồng_bào,ủng hộ
yêu đừng phân_biệt miền,ủng hộ
namky chào parky nha,phân biệt
miền trung chào bắc_nam,ủng hộ
yêu tổ_quốc yêu đồng_bào,ủng hộ
chia_rẽ ta kêu chia_rẽ,khác
anh_em đi quẩy party tui không yeah,phân biệt
trung kỳ cắt đôi,khác
bắc_nam_thống độc_lập hoà_bình hôm đánh_đổi máu_xương dân_tộc việt_nam trân_trọng dừng phân_biệt,ủng hộ
mấy thằng cali cay lắm,phân biệt
việt_nam đứng đầu haiz,khác
namkiki cay,phân biệt
mấy bọn coment parky giờ mày coment đấy,khác
bọn bình_luận parky chủ_yếu toàn phản_động thoi miền nam miền người_người kia,khác
parky bucu mienam,phân biệt
cụm pa ky nổi cx bình_luận pa ky,khác
giúp vật vật ơn giúp ky ky cắn,phân biệt
bắc_nam thống,ủng hộ
parky phân_biệt vùng miền phân_biệt dân hn hn,phân biệt
bọn sống cõi mạng anh_em công kiếm,khác
nha xưa hoảng nạn đồng chống giặt giờ thân lo không,khác
chả lũ cali,phân biệt
không_lẽ buồn parky buồn lắm,phân biệt
vấn không phục được,ủng hộ
parky namki bắcnam,ủng hộ
rep bình_luận tụi gì toàn bọn cali bọn trung ac clone rồi bình_luận mày chửi bình_luận nổi đừng qtam lặng,phân biệt
narnky,phân biệt
tôi miền nam đọc mấy bình_luận mấy đứa phân_biệt mẹ học đi lm mấy trò chả haz,khác
hệ giờ toàn phân_biệt miền không với hệ xưa,khác
chả mấy cháu parky namkiki npc bố_mẹ không dạy,khác
namki khóc tổ_tiên cali nc mẽo bắc trung đuổi cali cạo móng,phân biệt
cali cay,phân biệt
bắc trung nam đồng_bào rồng cháu tiên bảo_vệ tổ_quốc,ủng hộ
ho mày nhai đi nhai chó gặm xương,khác
bắc chửi thề không được mẹ dạy,phân biệt
parky đừng ta,ủng hộ
tụi tư lệch_lạc cãi không được toàn ghi parky cay rồi ghi tôi chã thèm,khác
tôi công thời xưa ơn người xưa,khác
bắc trung nam,ủng hộ
phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương,khác
việt_nam,ủng hộ
party cá_rô_phi,phân biệt
parky and nike,phân biệt
dăm nít vô_học trah luận gì mấy,khác
mấy lũ tiếng với chi mệt,khác
miền trung chào miền bắc miền nam việt_nam,ủng hộ
mục_đích câu tim,khác
chúc zai sức_khoẻ,khác
helo parky,phân biệt
hoà_giải hai miền bắc_nam cảm_ơn tụi bắc,khác
bắc trung nam việt_nam,ủng hộ
miền nam mến anh_em bắc lắm phú_quốc anh_em hoà thuật vui_vẻ,ủng hộ
parky cay,phân biệt
parky,phân biệt
hầu tôi toàn miền nam phân_biệt vùng miền miền bắc,khác
mạng parky cay parky tha huhu lỡ dại,khác
bình_luận hi_sinh việt_nam hiện,khác
tui nam bắc miền bắc_cực kỳ ngào giao_tiếp khéo_léo miền người kia tui,ủng hộ
trẻ không suy vậy suy lỗi đất hi_sinh bắc trung nam đi,ủng hộ
kệ phong_trào parky mankiki tôi monkey,phân biệt
bắc_nam giọng sống ta gia_đình,ủng hộ
miền nam tiếc bình_luận tiêu_cực vầy thành lỗi miền bắc_nam bắc,ủng hộ
thua ta việt_nam,ủng hộ
tao không quan_tâm lắm hahaha được miễn tao được,khác
bắc_nam,ủng hộ
lũ tap trụng namkiki cali today,phân biệt
hồ dạy,ủng hộ
vô_hạn tim vd,khác
không bọn cali cay,phân biệt
namky thịt chó,phân biệt
thể mấy trẻ học lịch_sử việt_nam miền nam bắc anh_em,ủng hộ
bọn spam pk nk cận huyết giận,khác
đừng nam bắc,ủng hộ
xưa việt_nam chia_rẽ nhức_nhối chiến_tranh bọn trẻ trêu không,khác
hào parky được đi học namky toàn mấy batman không được đi học với nằm lê_đường,phân biệt
đối tôi việt_nam không không bắc trung nam,ủng hộ
bắc trung nam việt_nam,ủng hộ
bame mấy thằng parky hào lắm hào quên bao,khác
tôi không bạn học phân_biệt miền không bắc không nam bạn được hnay không,ủng hộ
giải_phóng miền nam miền bắc việt_nam miền trung việt_nam miền nam việt_nam té mưa không được phân_biệt ảnh_hưởng xấu tn,khác
đứa trẻ không bố_mẹ dạy_dỗ thất_học,khác
thằng nài parky cặc nc phân_biệt,phân biệt
miền cx việt_nam cx xinh dthw vậy,khác
parky cay,phân biệt
mấy đứa bình_luận parky mồ_côi,khác
phân_biệt nam bắc,ủng hộ
namkiki,khác
hôm bữa tui ik lm kiên_giang chủ lú hok tiền tụi parki nguyên bọn hùa chửi tui xúc_phạm đồi đánh tui,phân biệt
bắc trung nam đừng hàng quốc,ủng hộ
namky namky,phân biệt
bọn mỹ,phân biệt
anh_em hai miền nam bắc anh_em vị lãnh_tụ vĩ_đại,khác
cty miền nam đợt không dám tuyển nhân_viên_hoá với nghệ_an,phân biệt
thời phân_biệt bắc trung nam,ủng hộ
phân_biệt vùng miền rồi được gì,khác
âm_mưu chia_rẽ khối đại_đoàn_kết tỉnh_táo nam bắc,ủng hộ
phân_biệt vùng miền vô video tao ghi đi mày thử ghi bình_luận video tôi đi bay ac không,khác
miền trung thân chào miền,ủng hộ
lai miền tây miền bắc nè hà_nam mẹ thơ thơ miền chăm,khác
trình_độ văn_hoá phân_biệt phân_chia xấu xấu,ủng hộ
tôi miền tây bực,khác
miền trung miền cãi,khác
parky party,phân biệt
tôi parky,khác
phân_biệt miền máu đỏ da vàng buồn,ủng hộ
haha câu sinh_vật,phân biệt
việt_nam,ủng hộ
việt_nam đi,khác
chấp gì thằng danh mong không da bắc,phân biệt
miền bắc miền nam bảo_vệ tổ_quốc chiến_dịch toàn hưởng_ứng không miền bắc giải_phóng,ủng hộ
pháp hãng chà neo mỹ hãng chà nail,phân biệt
thằng vũ parky,phân biệt
nam bắc,ủng hộ
yêu bắc trung nam,ủng hộ
lũ parky run chó ngã ao,phân biệt
đối tôi việt_nam không không bắc trung nam,ủng hộ
anh_em cãi toàn mấy thằng trẻ cali mõm online cty ngàn anh_em miền nam phân_biệt câu,khác
bắc_nam gà mẹ hoa cành nguyện biển thắm non xanh thương nuôi chí đấu_tranh bền,ủng hộ
tụi mày đăng ta parky cay gấp cali,phân biệt
cali cay,phân biệt
giờ tôi ch biết paky namkiki kali gì,khác
ngoại miền bắc giỏi trí tiến_thủ,ủng hộ
nam_trung bắc,ủng hộ
bắc trung nam anh_em,ủng hộ
hình parky,phân biệt
bắc_nam cội cành ruột_thịt đấu_tranh_thống thành_công bắc_nam ta vui,ủng hộ
không dọng bắc_nam ghét đa thái_độ nam ghét giời đít đát mng,phân biệt
sai đế_quốc,khác
xưa,khác
pakrky namkiki miền trung tụi mày pháp mỹ nhật biến đi việt_nam chứa,khác
khối đứa nhột dám spam,khác
việt_nam đừng phân_biệt bắc trung nam trẻ đổ bao_nhiêu xương_máu đất hoà_bình em học_tập thân,ủng hộ
nqa đăng kìa,khác
xác chữ,khác
chán mấy thằng nhóc bây buồn,khác
phản_động đấy,khác
bọn phân_biệt vùng miền khóc cay,khác
quê hoá,khác
ta parky namky ta miền bắc miền nam miền trung ta việt_nam đoàn_kết,ủng hộ
tôi vợ tôi dịp thăm lăng chùng mày vợ_chồng miền trung miền nam bắc thăm,khác
im_lặng không chửi,khác
mảnh đất hình chữ máu đổ hôm phân_biệt bắc_nam không,ủng hộ
mbắc phân_biệt miền phân_biệt dân_tộc lắm mh dân_tộc nùng chồng kinh toàn dân tọc chửi dân_tộc không học,phân biệt
parki trurki narki,phân biệt
parky,phân biệt
hên tao hoa,khác
rồi mấy đứa bình_luận namki,khác
giới trẻ thời,khác
bắc_nam,ủng hộ
miền trung không phan_biet,ủng hộ
miền trung miền bac nam viet nam mãi đỉnh,ủng hộ
parky nghĩa đọc không,khác
việt_nam duongdereview learnontiktok mcv,ủng hộ
namky,khác
yêu tổ_quốc yêu đồng_bào,ủng hộ
mấy bọn phản_quốc thik lắm,khác
mấy thằng bình_luận parky tưởng,khác
tư,khác
nhóc nam rồi,khác
mấy đứa bình_luận parky phân_biệt vùng miền mồ_côi dạy_dỗ tử_tế,khác
phân_biệt miền gì anh_em tôi phân_biệt kinh_tế trọng,khác
phận biệt chia_rẽ dân_tộc_thể chấp,ủng hộ
đầu_tiên vid vấn_đề bình_luận văn_minh,khác
đừng phân_biệt miền nx anh_em,ủng hộ
miền bắc chào parky nhá,phân biệt
parky namki trungki ta đừng phân_biệt miền,ủng hộ
miền trung yêu miền,ủng hộ
thèm bắc tụi mày tách nha,phân biệt
việt_nam,ủng hộ
yêu đừng phân_biệt miền,ủng hộ
miền bắc chả phân_biệt vùng miền chẳng miền nam bắc miền bắc đối_xử phân_biệt vùng miền hành_động miền bắc đấy phạt không,phân biệt
áa,khác
yêu việt_nam,ủng hộ
party,phân biệt
ta gọi đồng_bào,phân biệt
xưa quen đứa miền trung bảo rau_muống chỗ người miền trung chỗ giành heo,khác
parky chào namky,phân biệt
sinh người phân_biệt vung miền,khác
miền cháu cụ hồ bớt phân_biệt miền kẻ xấu người_người bắc người miền trung miền nam,ủng hộ
parky namkiki bắc trung nam,ủng hộ
parky,phân biệt
không parky miền nam không parky parky yêu_quý parky parky,phân biệt
bớt trẩu tre đi máy đứa kiu parky nội_chiến quan_trọng ngoại chiên,phân biệt
miền trung quen bắc_nam thân_thiện,ủng hộ
mấy thằng cali cá_rô đồng tưởng hải_sản đại_dương,phân biệt
mồ_côi mẹ parky,khác
e_ngại với viết mấy chữ lắm,khác
hah thằng già mày giỏi mày đứng dậy khởi_nghĩa đi thằng già cali,phân biệt
nam kỳ noá khinh hồn,phân biệt
parky gì,khác
parky cay lắm,phân biệt
mượn bk giải_phóng,phân biệt
parky cay lắm,phân biệt
parky gì,khác
parky sống kikikiki,phân biệt
bắc kỳ trung kỳ nam kỳ tất sống đất yêu_thương,ủng hộ
bây thời hasaki,khác
được câu phạm_tội,khác
không miền nam parky không cá_rô,phân biệt
nam bắc,ủng hộ
bắc trung nam park cak,ủng hộ
paris namkiki cali bắc trung nam dân_tộc anh_em,ủng hộ
cảm_ơn chia_sẻ,khác
haiz nam bắc thiệt phân_biệt miền kì,ủng hộ
bake tụi mày bớt xạo lol được,phân biệt
bắc_nam quan mày sống yêu_mến tao miền nan miền bắc nha mãi yêu,ủng hộ
parky ki ki ki ki ki,phân biệt
chuẩn,khác
lặng_lẽ đọc phân_tích phân_biệt vùng miền kết_luận việt_nam nam_trung parky,phân biệt
đối chả miền miền,ủng hộ
phân_biệt miền người bắc miền nam chiến_đấu hy_sinh đấy chiến_đấu chiến_đấu miền nam miền nam,ủng hộ
yếu bọn ngoại ban vô đặng_ly_gián miền nam miền bắc đừng kẻ xấu lợi_dụng phân_biệt miền đồng,ủng hộ
,khác
parky namki bắcnam,ủng hộ
tk bình_luận parky namkiki báo_cáo đừng chửi chửi giúp phât triển không,khác
parky parky namky trungky cái gì parky namky nhiễu phủ giá gương người thw,ủng hộ
namki khóc thương mẹ,phân biệt
toàn mấy đứa nít ranh pk pk sợ coi đi học sông biển,khác
dân việt_nam chấp phân_biệt vùng miền parky namki dân việt_nam ghi dặn công_lao việt_nam muôn cụ hồ muôn,ủng hộ
hồ dạy yêu tổ_quốc yêu đồng_bào học_tập lao_động đoàn_kết kỉ_luật gìn vệ_sinh khiêm_tốn dũng_cảm,ủng hộ
cali akay thiệm akay,phân biệt
parky độc_lập,phân biệt
không miền nam parky,phân biệt
hồ_chí_minh muôn,ủng hộ
bọn đi học,khác
ᵐᵃʸ ⁿᵃʸ ᵗʰᵃʸ ᵛᵈ ⁿᵃᵒ ᶜᵘⁿᵍ ᶜᵒ ᵇᶦⁿʰ ˡᵘᵒⁿ ᵖᵃʳᵏʸ,khác
toàn bọn tư lệch_lạc,khác
đi nam bắc chứa hàng triệu trái_tim việt_nam,ủng hộ
parky phá nát miền nam,phân biệt
cali namkiki tàn_dư pháp khôi_phục pháp,phân biệt
parky cá_rô,phân biệt
cầu_hiền lương chào anh_em bắc_nam,khác
bắc trung nam dòng máu rồng cháu tiên đoàn_kết đoàn_kết đại_đoàn mết,ủng hộ
nam bắc,ủng hộ
khuyên tất em miền đất việt_nam đừng phân_biệt miền tình đoàn_kết tất việt_nam,ủng hộ
nam bắc,ủng hộ
bình_luận,khác
không việt_nam,ủng hộ
nhưng_mà miền bắc sống miền ghét cưới chồng người ta né miền bắc,phân biệt
hồ dạy yêu tổ_quốc yêu đồng_bào,ủng hộ
team kh phân_biệt miền,ủng hộ
xém chút parky thành triều_tiên,phân biệt
tui việt_nam không phân_biệt miền tui tui dạy tui tui chửi thẳng mặt zậy hoy,khác
lông_mày,khác
parky phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương,khác
parky không phân_biệt vùng miền,khác
toàn packy phân_biệt trc,phân biệt
tổng_bí_thư người bắc ní nuận,khác
lũ bình_luận vội,phân biệt
lông,khác
parky cay,phân biệt
việt_nam duongdereview learnontiktok mcv,ủng hộ
mong công_an phường phạt tiền sợ liền,ủng hộ
parky bắc kì,phân biệt
chủ_trương cali boys cài anh_em không việt_nam tỉnh_táo,phân biệt
hồ dạy,ủng hộ
khởi_đầu miền nam,khác
tác_hại trẻ_em đt,khác
nam bắc,ủng hộ
phân_biệt cực_kì buồn,ủng hộ
cali quỳ đất,phân biệt
đọc bình_luận sôi_máu,khác
nam quốc sơn_hà nam đế cư tuyệt_nhiên định phận thiên thư hà nghịch lỗ lai xâm_phạm nhữ đẳng hành khan thủ bại hư,ủng hộ
vid người khát,khác
park,khác
nam bắc,ủng hộ
miền bắc chào miền nam ta lm ơn đừng phân_biệt vùng miền nx câu đáy người,ủng hộ
chỉa chỏ vậy,khác
parky lý_lẽ,phân biệt
parky ky ky ky ky,phân biệt
hào bắc,khác
việt_nam dân_tộc việt_nam sông thể cạn núi thể mòn song chân_lý bao thay_đổi hồ_chí_minh,ủng hộ
bọn sinh_vật,khác
đa mấy thk coment parky hùa lượt tương_tác,khác
sống việt_nam lịke sống việt bắc thả coment táp nha,khác
sinh_vật,phân biệt
mấy bình_luận parky thoi đi ta người cố_gắng xây_dựng mày tàn xá vậy,khác
nhiên bình_luận mày buồn,khác
vui gì được biết,khác
uk ôg cố bảo_vệ bây,khác
học đừng bao_giờ phân_biệt vùng miền không học mới vậy,khác
parky xưa khổ không cơm giờ khổ miền nam tiềm kế sinh_nhai,phân biệt
chi tiktok keyword lock mấy đứa phân_biệt chủng_tộc tuyệt,ủng hộ
nam bắc,ủng hộ
parky,phân biệt
bắc nhiệt_tình gái thương cực,ủng hộ
chửi đút đồ sinh,phân biệt
bắc trung nam,ủng hộ
việt_nam duongdereview learnontiktok mcv,ủng hộ
bắc_nam ơn vị hùng nằm,ủng hộ
pó kỳ chắt ní nựng,phân biệt
yêu tổ_quốc yêu đồng_bào,ủng hộ
người bắc thương lắm,ủng hộ
parky phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương,khác
tim vid nhân_văn,khác
huyn,khác
thua mấy bọn phân_biệt miền,khác
cộng_đồng tik tok bình_luận người đồng kiến toàn parky cay parky khóc,khác
âm_mưu chia_rẽ khối đại_đoàn_kết tỉnh_táo nam bắc,ủng hộ
bắc_nam quan mày sống yêu_mến tao miền nan miền bắc nha mãi yêu,ủng hộ
việt_nam,ủng hộ
người bắc thương lắm,ủng hộ
cali khát nhề,phân biệt
kiki bút ku mẽo sướng xâm_lược,phân biệt
học_thức văn_hoá chán,khác
đi đường cứu bắc trung nam_thành,ủng hộ
namki,phân biệt
nam bắc ta lực thể chia_cắt,ủng hộ
parky xịn đấy đập nát điện_biên_phủ câu sắt xịn trời rơi nồi chảo tuyệt_vời,phân biệt
cay mấy bọn coment parky lắm không gì được,khác
người bắc thương lắm,ủng hộ
người miền trung anh_em không kỳ_thị thân phán_xét người_người không phán_xét,ủng hộ
tôn_trọng,khác
parky parky namky trungky cái gì parky namky nhiễu phủ giá gương người thw,ủng hộ
lặng_lẽ đọc phân_tích phân_biệt vùng miền kết_luận việt_nam nam_trung parky,phân biệt
party,phân biệt
bắc trung nam,ủng hộ
miền nam mến anh_em bắc lắm phú_quốc anh_em hoà thuật vui_vẻ,ủng hộ
narky,phân biệt
tôi kệ yên_lành,khác
bố tụi mày giải_phóng triều_tiên hàn_quốc điển_hình không tiến nam đói chết triều_tiên,phân biệt
nam bắc,ủng hộ
toàn mấy ác clone bình_luận qtam không bình_luận,khác
phân_biệt cháu hồ miền nam toàn bắc,ủng hộ
khẩu nghiệp thương_yêu ta dân_tộc thống,ủng hộ
parky gì,khác
parky mãi mõm,phân biệt
parky cay,phân biệt
thay_mặt miền nam lỗi anh_em miền bắc,khác
nam bắc_trung,ủng hộ
paky cay đi cay được học lịch_sử đàng_hoàng,phân biệt
anh_em bể,ủng hộ
việt_nam dân_tộc việt_nam sông thể cạn núi thể mòn song chân_lý bao thay_đổi hồ_chí_minh,ủng hộ
lơ đi đi lai bao gièo dừng,khác
parky,phân biệt
hồ dạy,khác
tao người bắc_nam yêu miền trung,ủng hộ
miền bắc trọng danh kinh_tế giỏi miền trung trọng lợi sống cù tiết_kiệm miền nam trọng nghĩa văn_hoá,ủng hộ
namky,phân biệt
bắc_nam,ủng hộ
tôi bình_luận tôi lướt bọn clone ảo không chấp,khác
phân_biệt miền packy namky chửi học_thức trẻ xây_dựng đại dân_tộc việt_nam,ủng hộ
kém đi chê nam kiki nha,phân biệt
hoá điêu lắm tất bảo mày tiền thằng tồ mày lừa thằng tồ bala bala miền nam,phân biệt
tôi miền bắc miền nam giọng miền nam việt_nam,ủng hộ
nghĩa parky cay lắm,phân biệt
dương parky,phân biệt
đọc coment sốc,khác
việt_nam không phân_biệt miền dùm tôi tổ_tiên hùng chiến_sỹ hầu người miền bắc ns parky,khác
thằng_vũ,khác
việt_nam ta,ủng hộ
parky cay,phân biệt
hồ dạy yêu tổ_quốc yêu đồng_bào,ủng hộ
bình_luận toàn cali cay vô tap sợ wa,phân biệt
không chỗ parky namky,phân biệt
vậy miền bắc giỏi miền nam,phân biệt
haiz bọn trẻ thời,khác
việt_nam yêu thw đi miền nam,ủng hộ
mồm pbct xấu toàn parky,khác
namkykyky,phân biệt
parky,phân biệt
parky thực_dân pháp gọi đồng_bào miền bắc hổ trợ miền nam ta gọi mỉa_mai kì_thị nam bắc,ủng hộ
,khác
tư lệch_lạc rồi bọn phản_động nam bắc,ủng hộ
em ủng_hộ,khác
cá_rô,phân biệt
nam bắc mãi_mãi,ủng hộ
narmky miền nam nha,phân biệt
parky phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương,khác
ok đồng trai người miền nam kiến em,khác
ngự long ta,khác
đa bọn khơi_mào phân_biệt miền bọn cali,phân biệt
mấy cali nè,phân biệt
công không anh_em phản bọn nóng bốc_hơi im_lặng trầm_tĩnh anh_em,khác
yêu việt_nam,khác
lũ vô_học parky,khác
len mag chui vui vay thoi dân mjh đoàn_kết lắm,khác
đối coi bắc trung nam việt_nam hồ người dân_tộc,ủng hộ
miền nam mến anh_em bắc lắm phú_quốc anh_em hoà thuật vui_vẻ,ủng hộ
